company_name,stage,funding_amount,description,headquarter,investor,funded_year,sector
Mohalla Tech,Pre-series A,266000000.0,"Mohalla Tech Pvt. Ltd. is a computer software company based out of Bengaluru, India.","Bangalore, ",Alkeon Capital,2021,Media & Entertainment
Stack,Pre-series A,4500000.0,Stack is an investing platform set to put money to work and help invest like some of the world’s biggest money-makers,"Bangalore, ","Y Combinator, Harvard Management",2021,Finance
PropReturns,Pre-series A,1200000.0,PropReturns is a platform for users to invest in Indian Real Estate backed by data.,"Mumbai, ","Y Combinator﻿, ﻿Goodwater Capital",2021,Real Estate
WeSkill,Pre-series A,4000000.0,Act as the bridge for skills providing access to learning and developing these skills at a younger age from the comfort and security of home.,"Gurugram, ","Shrishti Sahu, Umang Vohra",2021,E-learning
Fitpage,Pre-series A,300000.0,"An endurance-first fitness tech platform focussed on enabling you to learn, eat, work out and live better.","Mumbai, ","Astra Ventures, Gaurav Jaitly",2021,Healthcare & Life Sciences
ShopMyLooks,Pre-series A,200000.0,ShopMyLooks turns social media photos & videos into shop-the-look thus helping creators monetize their entire content.,"Noida, ","Capital A, Collective Artists Network",2021,IT & Technology
Dista,Pre-series A,1200000.0,Dista is an AI-enabled location intelligence platform that offers a wide range of solutions for businesses to power their mobility and field operations.,"Pune, ",Pentathlon Ventures,2021,IT & Technology
OfBusiness,Pre-series A,325000000.0,"OfBusiness is a new age commerce and fintech start up, and is technologically driven to provide smart procurement and smart financing to SMEs.","Gurugram, ","Alpha Wave Ventures II, Tiger Global Management, SoftBank Vision Fund II",2021,Finance
Bizongo,Pre-series A,100000000.0,izongo is India’s largest B2B platform for made-to-order products.,"Mumbai, ",Tiger Global,2021,Retail
FRND,Pre-series A,6500000.0,FRND is an audio dating app for Bharat,"Bangalore, ",KRAFTON,2021,Media & Entertainment
Metadome,Pre-series A,4000000.0,"Metadome (formerly Adloid), is a Metaverse, that provides no-code infrastructure to millions of creators & brands, to build immersive experiences for the virtual world.","Bangalore, ","Chiratae Ventures, Lenskart Vision Fund",2021,IT & Technology
Keka HR,Pre-series A,1600000.0,Keka is a simple and intuitive HR software unlike the traditional HR systems.,"Hyderabad, ",Recur Club,2021,IT & Technology
The Gourmet Jar,Pre-series A,150000.0,"The Gourmet Jar offers a range of premium condiments in unique flavour combinations, that are handmade in small batches, from scratch, using all-natural ingredients and no preservatives or additives.","Noida, ",DevX Venture Fund,2021,Consumer Goods
Flo Mobility,Pre-series A,400000.0,"An autonomous tech stack that can be applied to agri-bots, delivery bots, two wheelers and other use cases where compact bots need to navigate in crowded, unstructured environments.","Bangalore, ","DevX Venture Fund, Blume Founder Fund",2021,Manufacturing
